MEET,RC_DATE,RC_NO,RC_DIST,RANK,WEATHER,TR_CON,TR_WC,ORD,CHUL_NO,HR_NAME,HR_NO,NAME,PRD_NAME,AGE,SEX,horse_weight,weight_gain,RC_TIME,ORD1_CNT_T,ORD2_CNT_T,RC_CNT_T,ORD1_CNT_Y,ORD2_CNT_Y,RC_CNT_Y,WG_BUDAM,JK_NAME,JK_NO,JK_AGE,JK_CAREER,JK_ORD1_CNT_T,JK_ORD2_CNT_T,JK_RC_CNT_T,JK_ORD1_CNT_Y,JK_ORD2_CNT_Y,JK_RC_CNT_Y,TR_NAME,TR_NO,TR_AGE,TR_CAREER,TR_ORD1_CNT_T,TR_ORD2_CNT_T,TR_RC_CNT_T,TR_ORD1_CNT_Y,TR_ORD2_CNT_Y,TR_RC_CNT_Y,HR_ORD1_CNT_T,HR_ORD2_CNT_T,HR_RC_CNT_T,SJ_S1F_ORD,SJ_1C_ORD,SJ_2C_ORD,SJ_3C_ORD,SJ_G3F_ORD,SJ_4C_ORD,SJ_G1F_ORD,SE_S1F_ACC_TIME,SE_1C_ACC_TIME,SE_2C_ACC_TIME,SE_3C_ACC_TIME,SE_G3F_ACC_TIME,SE_4C_ACC_TIME,SE_G1F_ACC_TIME,JE_S1F_TIME,JE_1C_TIME,JE_2C_TIME,JE_3C_TIME,JE_G3F_TIME,JE_4C_TIME,JE_G1F_TIME,BU_S1F_ORD,BU_G8F_ORD,BU_G6F_ORD,BU_G4F_ORD,BU_G3F_ORD,BU_G2F_ORD,BU_G1F_ORD,BU_S1F_TIME,BU_10-8F_TIME,BU_8-6F_TIME,BU_6-4F_TIME,BU_4-2F_TIME,BU_2F-G_TIME,BU_3F-G_TIME,BU_1F-G_TIME,BU_S1F_ACC_TIME,BU_G8F_ACC_TIME,BU_G6F_ACC_TIME,BU_G4F_ACC_TIME,BU_G3F_ACC_TIME,BU_G2F_ACC_TIME,BU_G1F_ACC_TIME
제주,20230630,4,1000,제5등급,비,불량,20,1,5,캡틴파도,3101700,한국,국산,4,거,273.0,2.0,86.6,1,2,14,1,2,14,54.0,원유일,3075,36,13,444,469,4730,26,30,402,이태용,2034.0,,12.0,748.0,598.0,4705.0,54.0,37.0,343.0,83.0,53.0,442.0,5,0,0,2,0,3,1,0,0,0,0,0,0,0,18.1,0.0,0.0,35.3,51.3,52.9,17.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230630,5,1000,제5등급,비,불량,20,1,7,성산황후,3102411,한국,국산,4,암,284.0,-7.0,85.2,3,0,15,3,0,11,57.0,문현진,3080,35,10,446,430,3614,59,52,456,이준호,2029.0,,17.0,666.0,702.0,6512.0,54.0,48.0,432.0,102.0,73.0,665.0,2,0,0,2,0,2,2,0,0,0,0,0,0,0,17.4,0.0,0.0,34.5,50.7,51.1,17.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230630,6,1000,제4등급,흐림,불량,20,1,3,리듬스타,3018951,한국,국산,4,수,262.0,-1.0,83.7,3,3,31,1,0,15,58.5,장우성,3055,45,24,935,771,6573,17,18,183,김길홍,2038.0,,5.0,216.0,211.0,1841.0,59.0,47.0,432.0,76.0,70.0,581.0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,17.2,0.0,0.0,33.7,50.0,50.2,16.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230630,7,1000,제4등급,안개,불량,20,1,2,동백미인,3019049,한국,국산,4,암,287.0,1.0,83.4,3,3,30,2,1,19,51.5,곽석,3094,27,3,35,44,520,16,21,209,박병진,2028.0,,19.0,927.0,936.0,7980.0,39.0,35.0,381.0,90.0,78.0,717.0,2,0,0,4,0,2,3,0,0,0,0,0,0,0,17.1,0.0,0.0,33.5,49.9,49.5,17.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230630,8,1000,제3등급,안개,불량,20,1,8,명성스타,3102010,한국,국산,3,암,297.0,2.0,83.0,5,1,10,5,1,10,54.5,전현준,3070,35,18,959,810,6130,69,54,434,강영진,2033.0,,13.0,670.0,667.0,5448.0,63.0,49.0,445.0,133.0,132.0,1036.0,4,0,0,4,0,3,1,0,0,0,0,0,0,0,17.5,0.0,0.0,33.9,49.1,50.2,17.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230630,9,1110,제3등급,안개,불량,20,1,8,해상,3102027,한국,국산,3,거,301.0,-1.0,92.3,5,0,6,5,0,6,58.0,김준호,3081,30,9,411,337,3025,64,50,413,김영래,2019.0,,27.0,1547.0,1235.0,10161.0,48.0,32.0,321.0,90.0,46.0,366.0,3,0,0,2,0,2,1,0,0,0,0,0,0,0,18.2,0.0,0.0,42.6,49.7,59.0,17.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230624,1,800,제6등급,맑음,건조,4,1,1,아신,3103887,한국,국산,2,수,250.0,11.0,68.1,1,0,2,1,0,2,54.0,강수한,3077,32,12,418,373,3086,52,58,419,신경호,2018.0,,27.0,1021.0,1102.0,10781.0,41.0,50.0,350.0,51.0,51.0,442.0,5,0,0,5,0,4,5,0,0,0,0,0,0,0,18.1,0.0,0.0,18.1,50.0,34.4,16.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230624,2,1000,제5등급,맑음,건조,4,1,7,천문신동,3102292,한국,국산,3,거,275.0,1.0,87.1,2,0,7,2,0,7,55.5,박성광,3089,42,6,310,252,2043,60,44,352,이태용,2034.0,,12.0,748.0,598.0,4705.0,54.0,37.0,343.0,82.0,49.0,420.0,2,0,0,2,0,2,2,0,0,0,0,0,0,0,17.8,0.0,0.0,35.4,51.7,52.3,18.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230624,3,1000,제5등급,맑음,건조,4,1,8,태산수,3018936,한국,국산,4,거,281.0,1.0,84.7,3,0,12,3,0,12,57.5,박성광,3089,42,6,310,252,2043,60,44,352,이태용,2034.0,,12.0,748.0,598.0,4705.0,54.0,37.0,343.0,82.0,49.0,420.0,10,0,0,7,0,7,4,0,0,0,0,0,0,0,18.4,0.0,0.0,35.2,49.5,52.0,16.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230624,4,1110,제4등급,맑음,건조,4,1,3,황제로,3102273,한국,국산,3,수,294.0,-5.0,94.1,3,2,10,3,2,10,53.5,강수한,3077,32,12,418,373,3086,52,58,419,김길홍,2038.0,,5.0,216.0,211.0,1841.0,59.0,47.0,432.0,84.0,71.0,631.0,7,0,0,7,0,6,3,0,0,0,0,0,0,0,18.6,0.0,0.0,43.9,50.2,60.5,16.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230624,5,1110,제3등급,맑음,건조,4,1,10,무소불위,3017143,한국,국산,8,거,260.0,-6.0,93.9,10,3,96,1,0,18,51.5,이성민,3092,29,6,126,142,1573,28,36,389,윤덕상,2021.0,,27.0,1036.0,1279.0,12632.0,24.0,49.0,493.0,81.0,79.0,747.0,2,0,0,3,0,3,3,0,0,0,0,0,0,0,18.6,0.0,0.0,43.3,50.6,59.6,17.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230624,6,1110,제2등급,맑음,건조,4,1,2,계포일낙,3019075,한국,국산,4,거,263.0,-8.0,93.9,6,0,11,4,0,9,52.0,문현진,3080,35,10,446,430,3614,59,52,456,고영덕,2026.0,,23.0,1330.0,1245.0,10543.0,54.0,44.0,408.0,98.0,77.0,649.0,5,0,0,5,0,6,4,0,0,0,0,0,0,0,18.4,0.0,0.0,42.3,51.6,58.5,18.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230624,7,1400,제1등급,맑음,건조,4,1,8,유명세,3018862,한국,국산,4,거,290.0,2.0,123.9,10,4,33,1,3,17,54.5,문현진,3080,35,10,446,430,3614,59,52,456,윤덕상,2021.0,,27.0,1036.0,1279.0,12632.0,24.0,49.0,493.0,81.0,79.0,747.0,2,0,0,2,0,2,2,0,0,0,0,0,0,0,18.8,0.0,18.8,75.9,48.0,93.3,15.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230623,1,800,제6등급,맑음,양호,8,1,8,소록별,3103380,한국,국산,2,암,290.0,8.0,66.6,1,0,1,1,0,1,52.0,곽석,3094,27,3,35,44,520,16,21,209,박병진,2028.0,,19.0,927.0,936.0,7980.0,39.0,35.0,381.0,87.0,77.0,705.0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,16.9,0.0,0.0,16.9,49.7,32.6,17.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230623,2,800,제6등급,맑음,양호,8,1,2,으뜸제일,3103546,한국,국산,3,암,306.0,3.0,67.1,1,0,1,1,0,1,53.0,문현진,3080,35,10,446,430,3614,59,52,456,고영덕,2026.0,,23.0,1330.0,1245.0,10543.0,54.0,44.0,408.0,98.0,77.0,649.0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,16.8,0.0,0.0,16.8,50.3,32.3,18.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230623,3,900,제5등급,맑음,양호,8,1,10,한강,3102266,한국,국산,3,암,253.0,-1.0,75.7,2,0,10,2,0,10,52.5,문현진,3080,35,10,446,430,3614,59,52,456,고영덕,2026.0,,23.0,1330.0,1245.0,10543.0,54.0,44.0,408.0,98.0,77.0,649.0,5,0,0,8,0,8,6,0,0,0,0,0,0,0,17.0,0.0,0.0,25.6,50.1,42.2,16.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
