Shift,Model,Scaler,index,train_r2,test_r2,train_mse,test_mse,train_mae_ratio,test_mae_ratio,test_mae_ratio_max,test_mae_ratio_min,test_mae_ratio_mean,train_mae,test_mae,train_rmse,test_rmse
0,MLPRegressor,MinMax,취미_레저,-0.21,-0.22,9.006129970070219e+16,6.5300528685180536e+16,99.99,99.98,100.0,99.96,99.98666666666666,124978872.05,108923941.09,300102148.78,255539681.23
0,MLPRegressor,MinMax,가구_전자기기,-0.29,-0.27,4.95916311096682e+16,4.972641399485093e+16,99.98,99.98,100.0,99.96,99.98666666666666,106266047.29,102923233.71,222691785.01,222994201.71
0,MLPRegressor,MinMax,미용_패션,-0.33,-0.43,3.1424705417037588e+16,2.408115855555576e+16,99.98,99.98,100.0,99.96,99.98666666666666,88456033.83,85220441.15,177270148.13,155181050.89
0,MLPRegressor,MinMax,식음료,-2.36,-2.71,8.401792420743926e+16,7.811606259853802e+16,99.99,99.99,100.0,99.96,99.98666666666666,242872363.2,238828440.62,289858455.47,279492509.02
0,MLPRegressor,MinMax,생활서비스,-0.87,-0.93,4.8208387386081896e+16,4.4107413922171576e+16,99.99,99.99,100.0,99.96,99.98666666666666,149801708.32,145752968.85,219564084.92,210017651.45
0,MLPRegressor,MinMax,의료_건강,-2.23,-2.48,3.715481896082608e+17,3.255483920181472e+17,100.0,100.0,100.0,99.96,99.98666666666666,506618565.63,481550861.6,609547528.59,570568481.44
0,MLPRegressor,MinMax,소매_편의,-1.33,-1.01,3.527376449373182e+17,4.234251387519719e+17,100.0,100.0,100.0,99.96,99.98666666666666,448842029.99,461510263.85,593917203.77,650711256.05
0,MLPRegressor,MinMax,부동산_숙박,-0.18,-0.16,826988025109962.1,1073406864614162.4,100.0,100.0,100.0,99.96,99.98666666666666,11112829.06,12129204.35,28757399.48,32762888.53
0,MLPRegressor,Standard,교육_학원,-0.84,-0.78,3356891779503107.0,3479046906355239.0,99.89,99.89,100.0,99.89,99.96777777777775,39107595.0,39015690.64,57938689.83,58983446.04
0,MLPRegressor,Standard,미용_패션,-0.33,-0.43,3.1415597792680096e+16,2.4072780309325628e+16,99.96,99.96,100.0,99.89,99.96777777777775,88436018.56,85201398.04,177244457.72,155154053.47
0,MLPRegressor,Standard,취미_레저,-0.21,-0.22,9.004624934906277e+16,6.528861936272952e+16,99.97,99.96,100.0,99.89,99.96777777777775,124952019.32,108901620.42,300077072.35,255516377.88
0,MLPRegressor,Standard,생활서비스,-0.87,-0.93,4.819368713231682e+16,4.4093936826898e+16,99.97,99.97,100.0,99.89,99.96777777777775,149771951.54,145725381.69,219530606.37,209985563.38
0,MLPRegressor,Standard,가구_전자기기,-0.29,-0.27,4.957879970134192e+16,4.9714437689161576e+16,99.97,99.97,100.0,99.89,99.96777777777775,106247549.79,102905753.39,222662973.35,222967346.69
0,MLPRegressor,Standard,식음료,-2.36,-2.71,8.399784113168565e+16,7.809801839284914e+16,99.98,99.98,100.0,99.89,99.96777777777775,242842715.93,238800985.04,289823810.5,279460226.85
0,MLPRegressor,Standard,의료_건강,-2.23,-2.48,3.715108754408206e+17,3.2551618901176826e+17,99.99,99.99,100.0,99.89,99.96777777777775,506590109.22,481525394.88,609516919.73,570540260.64
0,MLPRegressor,Standard,소매_편의,-1.33,-1.01,3.526947225068308e+17,4.2338253306038e+17,99.99,99.99,100.0,99.89,99.96777777777775,448806892.51,461477574.49,593881067.64,650678517.44
0,MLPRegressor,Standard,부동산_숙박,-0.18,-0.16,826979028344333.9,1073398505472127.4,100.0,100.0,100.0,99.89,99.96777777777775,11112843.32,12129262.56,28757243.06,32762760.96
0,MLPRegressor,Default,식음료,0.11,0.06,2.2259958520716884e+16,1.985855893669036e+16,42.69,42.16,115.35,42.16,72.96555555555557,103695166.1,100709654.44,149197716.2,140920399.29
0,MLPRegressor,Default,의료_건강,-0.18,-0.25,1.3552073846129166e+17,1.1723054969178003e+17,47.59,47.65,115.35,42.16,72.96555555555557,241085048.86,229448360.9,368131414.66,342389470.77
0,MLPRegressor,Default,소매_편의,-0.12,-0.06,1.6948147908321376e+17,2.2401703918785702e+17,53.81,53.31,115.35,42.16,72.96555555555557,241541796.17,246053699.71,411681283.38,473304383.23
0,MLPRegressor,Default,생활서비스,-0.01,0.0,2.6067369704813736e+16,2.278507274229429e+16,62.24,62.05,115.35,42.16,72.96555555555557,93244130.63,90451586.28,161453924.4,150947251.52
0,MLPRegressor,Default,교육_학원,0.04,0.05,1752172664568798.8,1852020675861607.2,68.07,69.9,115.35,42.16,72.96555555555557,26650233.82,27302406.63,41858961.58,43035109.8
0,MLPRegressor,Default,미용_패션,0.09,0.11,2.1527399190166776e+16,1.5006707351082806e+16,79.9,76.49,115.35,42.16,72.96555555555557,70687959.71,65200660.58,146722183.7,122501866.72
0,MLPRegressor,Default,취미_레저,0.04,0.05,7.149518458776897e+16,5.096578936670783e+16,82.52,85.68,115.35,42.16,72.96555555555557,103148372.29,93345530.73,267385834.68,225756039.49
0,MLPRegressor,Default,가구_전자기기,0.07,0.06,3.549582865009269e+16,3.6701915660879016e+16,100.87,104.1,115.35,42.16,72.96555555555557,107210331.19,107162393.72,188403366.88,191577440.38
0,MLPRegressor,Default,부동산_숙박,-0.02,-0.04,719724150081639.1,959922407402230.8,115.36,115.35,115.35,42.16,72.96555555555557,12820101.86,13991009.29,26827675.08,30982614.6
0,SVR,Standard,의료_건강,-0.03,-0.01,1.1780342623869587e+17,9.449524613069027e+16,41.77,41.08,96.16,41.08,66.83666666666666,211614499.56,197833898.04,343225037.31,307400790.71
0,SVR,Standard,식음료,-0.05,-0.05,2.6272274829741604e+16,2.2049741241928028e+16,45.69,44.11,96.16,41.08,66.83666666666666,110980555.95,105364019.95,162087244.5,148491552.76
0,SVR,Standard,소매_편의,-0.04,-0.04,1.5677739889779523e+17,2.1797160167874413e+17,49.05,50.88,96.16,41.08,66.83666666666666,220152400.22,234834995.41,395951258.23,466874288.95
0,SVR,Standard,생활서비스,-0.05,-0.05,2.709963398736684e+16,2.391620095031433e+16,62.57,62.53,96.16,41.08,66.83666666666666,93739041.67,91145194.96,164619664.64,154648637.08
0,SVR,Standard,교육_학원,-0.09,-0.08,1996613065550275.2,2123569030358452.8,68.65,69.53,96.16,41.08,66.83666666666666,26878160.93,27156428.93,44683476.43,46082198.63
0,SVR,Standard,미용_패션,-0.08,-0.1,2.557697616136153e+16,1.8518159243038176e+16,75.06,73.59,96.16,41.08,66.83666666666666,66410596.63,62721989.91,159928034.32,136081443.42
0,SVR,Standard,취미_레저,-0.05,-0.04,7.827571207572285e+16,5.5539794668332136e+16,77.05,75.99,96.16,41.08,66.83666666666666,96311090.42,82779750.04,279777969.25,235668824.13
0,SVR,Standard,가구_전자기기,-0.13,-0.12,4.342173842590746e+16,4.378846854243348e+16,88.07,87.66,96.16,41.08,66.83666666666666,93603157.61,90235003.27,208378833.92,209256943.83
0,SVR,Standard,부동산_숙박,-0.12,-0.11,788758572010418.5,1031357625180678.2,95.31,96.16,96.16,41.08,66.83666666666666,10592142.36,11663808.03,28084845.95,32114757.12
0,SVR,MinMax,의료_건강,-0.03,-0.01,1.17803424431362e+17,9.44952442972342e+16,41.77,41.08,96.16,41.08,66.83666666666666,211614495.92,197833894.12,343225034.68,307400787.73
0,SVR,MinMax,식음료,-0.05,-0.05,2.627227286093211e+16,2.2049739477434668e+16,45.69,44.11,96.16,41.08,66.83666666666666,110980548.7,105364012.92,162087238.43,148491546.82
0,SVR,MinMax,소매_편의,-0.04,-0.04,1.5677739874981325e+17,2.179716019269132e+17,49.05,50.88,96.16,41.08,66.83666666666666,220152398.13,234834992.47,395951258.05,466874289.21
0,SVR,MinMax,생활서비스,-0.05,-0.05,2.709963214160164e+16,2.391619908641293e+16,62.57,62.53,96.16,41.08,66.83666666666666,93739035.9,91145188.98,164619659.04,154648631.05
0,SVR,MinMax,교육_학원,-0.09,-0.08,1996613837451555.2,2123569694950615.2,68.65,69.53,96.16,41.08,66.83666666666666,26878156.53,27156422.14,44683485.06,46082205.84
0,SVR,MinMax,미용_패션,-0.08,-0.1,2.5576976192973508e+16,1.8518159033129096e+16,75.06,73.59,96.16,41.08,66.83666666666666,66410593.76,62721986.78,159928034.42,136081442.65
0,SVR,MinMax,취미_레저,-0.05,-0.04,7.827571205923182e+16,5.553979415453366e+16,77.05,75.99,96.16,41.08,66.83666666666666,96311083.89,82779742.01,279777969.22,235668823.04
0,SVR,MinMax,가구_전자기기,-0.13,-0.12,4.342173425004427e+16,4.3788464461911816e+16,88.07,87.66,96.16,41.08,66.83666666666666,93603157.21,90235003.42,208378823.9,209256934.08
